open,close,previous_day_open
1028.4,1038.15,1043.52
1043.52,1027.34,1031.33
1031.33,1042.9,1011.46
1011.46,1029.91,990
990,1011.8,970.94
970.94,989.02,920.96
920.96,970.4,920.15
920.15,920.38,922.07
922.07,919.5,919.81
919.81,921.59,918.36
918.36,919.75,902.39
902.39,917.59,891.92
891.92,901.54,910.68
910.68,892.69,925.5
925.5,921.01,922.21
922.21,924.67,895.55
895.55,921.79,898.17
898.17,895.03,888.34
888.34,899.07,909.37
909.37,886.62,830.95
830.95,907.94,821.78
821.78,831.53,818.14
818.14,821.8,825.14
825.14,818.41,803.74
803.74,823.98,775.18
775.18,804.83,908.12
908.12,777.76,902.44
902.44,907.68,913.24
913.24,902.83,908.17
908.17,911.2,903.49
903.49,908.59,1014.24
1014.24,902.2,1156.73
1156.73,1013.38,1044.4
1044.4,1154.73,1021.6
1021.6,1043.84,998.62
998.62,1021.75,963.66
963.66,998.33,960.63
960.63,963.74,972.53
972.53,961.24,975.13
975.13,973.5,934.83
934.83,975.92,908.35
908.35,933.2,896.9
896.9,907.61,899.65
899.65,896.18,922.18
922.18,898.82,864.89
864.89,921.98,834.18
834.18,864.54,800.64
800.64,834.28,792.25
792.25,800.88,790.69
790.69,792.71,791.01
791.01,790.53,785.17
785.17,790.83,778.96
778.96,784.91,780.07
780.07,778.09,780
780,781.48,780.65
780.65,780.56,770.04
770.04,780.09,774.75
774.75,769.73,773.02
773.02,774.65,769.94
769.94,772.79,768.08
768.08,770.81,764.21
764.21,768.13,758.72
758.72,764.22,773.39
773.39,758.7,771.64
771.64,773.87,778.25
778.25,771.15,757.54
757.54,777.94,746.05
746.05,756.77,736.28
736.28,745.69,736.33
736.33,735.6,732.48
732.48,735.81,735.44
735.44,732.03,741.51
741.51,735.38,740.44
740.44,741.65,744.62
744.62,740.29,751.74
751.74,744.59,739.64
739.64,751.35,731.26
731.26,739.25,751.88
751.88,731.03,751.83
751.83,751.62,740.71
740.71,751.59,744.88
744.88,740.98,711.17
711.17,744.2,705.79
705.79,711.62,702
702,705.02,705.2
705.2,702.03,716.75
716.75,705.05,715.55
715.55,716.41,722.84
722.84,715.53,709.83
709.83,723.27,703.09
703.09,709.85,710.74
710.74,703.13,703.81
703.81,711.52,703.52
703.52,703.42,689.12
689.12,703.24,742.35
742.35,688.7,730.07
730.07,740.83,701.34
701.34,729.79,702.64
702.64,700.97,714.12
714.12,701.86,690.29
690.29,714.48,688
688,689.65,678.21
678.21,688.31,657.68
657.68,678.3,654
654,657.59,657.16
657.16,653.76,657.62
657.62,657.07,633.14
633.14,657.29,630.83
630.83,632.83,630.66
630.66,630.86,638.13
638.13,630.52,639.41
639.41,637.96,641.82
641.82,639.19,639.08
639.08,641.63,640.31
640.31,638.65,637.01
637.01,640.38,636.03
636.03,636.79,640.87
640.87,636.19,619.24
619.24,641.07,616.82
616.82,618.99,619.17
619.17,616.75,617.34
617.34,619.11,612.61
612.61,617.12,612.47
612.47,613.02,610.22
610.22,612.51,612.05
612.05,610.2,610.97
610.97,612.13,613.95
613.95,610.89,609.93
609.93,613.98,605.72
605.72,609.74,605.02
605.02,605.69,606.24
606.24,604.73,608.02
608.02,606.17,600.81
600.81,608.04,602.75
602.75,600.83,602.96
602.96,602.63,596.2
596.2,602.84,597.28
597.28,596.3,603.59
